,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,GEOID,Sub_geo,geometry
2763,1550150114,3125 CUNNINGHAM LN,5/24/21,2021,5,2021-5,325000,2006,1864,174.3562232,13097080602,South Douglas,POINT (-84.6422924 33.7120131)
2777,9251820006,1946 KNOTS LANDING DR,5/21/21,2021,5,2021-5,206000,1990,1324,155.5891239,13097080602,South Douglas,POINT (-84.6403302 33.7499388)
2795,1300150108,2470 LEGACY VILLAGE DR,5/20/21,2021,5,2021-5,322459,2020,2364,136.4039763,13097080602,South Douglas,POINT (-84.6739982 33.7392126)
2810,1300150091,2979 LEGACY PARK DR,5/18/21,2021,5,2021-5,317854,2020,2036,156.1168959,13097080602,South Douglas,POINT (-84.6733697 33.7388515)
2811,1300150107,2490 LEGACY VILLAGE DR,5/18/21,2021,5,2021-5,303960,2020,1868,162.7194861,13097080602,South Douglas,POINT (-84.6739982 33.7392126)
2816,1550150107,9923 MANCUNIAN WAY,5/17/21,2021,5,2021-5,345000,2005,1848,186.6883117,13097080602,South Douglas,POINT (-84.641475 33.7113285)
2831,1570150136,3988 GRANT DR,5/14/21,2021,5,2021-5,496800,1995,2273,218.5657721,13097080602,South Douglas,POINT (-84.6391244 33.6960951)
2836,1490150050,3282 THORNECREEK DR,5/14/21,2021,5,2021-5,356000,2001,2490,142.9718876,13097080602,South Douglas,POINT (-84.6560452 33.715552)
2840,1510150020,2595 ARLINGTON CT,5/13/21,2021,5,2021-5,225000,1999,1430,157.3426573,13097080602,South Douglas,POINT (-84.6540632 33.7336871)
2850,1300150105,2510 LEGACY VILLAGE DR,5/12/21,2021,5,2021-5,316238,2020,1878,168.3908413,13097080602,South Douglas,POINT (-84.6722053 33.7369077)
2868,1550150156,3122 CUNNINGHAM LN,5/10/21,2021,5,2021-5,305000,2006,1854,164.5091694,13097080602,South Douglas,POINT (-84.641964 33.7123845)
2880,9571820029,2182 MT VERNON RD,5/10/21,2021,5,2021-5,210000,2003,1659,126.5822785,13097080602,South Douglas,POINT (-84.6410251 33.7442668)
2918,9251820003,2020 E LOTUS POINT DR,5/3/21,2021,5,2021-5,225000,1990,1578,142.5855513,13097080602,South Douglas,POINT (-84.6391857 33.7498456)
2924,1600150066,3912 KING DR,3/29/19,2019,3,2019-3,27000,1972,780,34.61538462,13097080602,South Douglas,POINT (-84.6361198 33.6981207)
2954,9221820040,2374 CHESTNUT LOG CT,3/28/19,2019,3,2019-3,125000,1982,1260,99.20634921,13097080602,South Douglas,POINT (-84.6531641 33.7483615)
2975,1550150171,3107 CUNNINGHAM LN,4/22/19,2019,4,2019-4,249900,2007,2015,124.0198511,13097080602,South Douglas,POINT (-84.640617 33.7122923)
